City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,komsomolskiy,71.7189,40.4272,290.55,42,23,1.03,UZ,2023-04-24
176,athni,75.0667,16.7333,299.39,52,27,4.82,IN,2023-04-24
177,upernavik,-56.1549,72.7868,271.06,91,85,2.67,GL,2023-04-24
178,vernon,-119.2691,50.2581,288.49,48,100,1.03,CA,2023-04-24
179,tuatapere,167.6833,-46.1333,286.19,77,95,5.75,NZ,2023-04-24
180,ribeira grande,-28.7,38.5167,290.37,94,20,6.26,PT,2023-04-24
181,luancheng,114.6517,37.8792,280.24,75,75,1.63,CN,2023-04-24
182,nelson bay,152.15,-32.7167,291.48,99,10,2.68,AU,2023-04-24
183,sibolga,98.7792,1.7427,298.1,92,100,0.86,ID,2023-04-24
184,lasa,10.7002,46.6166,280.64,93,32,2.11,IT,2023-04-24
185,progreso,-89.6667,21.2833,308.21,79,100,8.0,MX,2023-04-24
186,kralendijk,-68.2667,12.15,302.14,70,40,4.63,BQ,2023-04-24
187,mpika,31.4529,-11.8343,289.23,97,4,1.61,ZM,2023-04-24
188,itoman,127.6694,26.1247,296.16,80,75,3.09,JP,2023-04-24
189,khuzhir,107.3397,53.1939,266.59,77,76,2.69,RU,2023-04-24
190,magadan,150.8,59.5667,276.78,77,92,9.39,RU,2023-04-24
191,kutum,24.6667,14.2,300.35,32,45,3.77,SD,2023-04-24
192,saint-paul,55.2707,-21.0096,299.21,92,16,0.89,RE,2023-04-24
193,saint-leu,55.2833,-21.15,298.63,92,16,6.5,RE,2023-04-24
194,pisco,-76.2167,-13.7,299.18,65,0,10.8,PE,2023-04-24
195,yatou,122.3833,37.15,281.92,36,100,1.77,CN,2023-04-24
196,bilma,12.9164,18.6853,304.66,10,55,3.71,NE,2023-04-24
197,benito juarez,-99.165,19.385,299.73,28,40,4.47,MX,2023-04-24
198,qaanaaq,-69.3632,77.484,266.49,85,100,0.87,GL,2023-04-24
199,klasterec nad ohri,13.1713,50.3844,281.01,93,61,3.73,CZ,2023-04-24
200,kyren,102.1408,51.6828,273.03,50,98,1.64,RU,2023-04-24
201,naze,129.4833,28.3667,293.66,82,89,6.67,JP,2023-04-24
202,knysna,23.0471,-34.0363,290.59,92,100,2.3,ZA,2023-04-24
203,la ronge,-105.2842,55.1001,283.27,29,100,6.17,CA,2023-04-24
204,tabuk,121.4443,17.4189,295.05,90,19,1.19,PH,2023-04-24
205,pacific grove,-121.9166,36.6177,296.05,71,0,5.14,US,2023-04-24
206,kahului,-156.47,20.8947,300.16,57,75,3.6,US,2023-04-24
207,malakal,31.6605,9.5334,303.65,48,23,1.29,SS,2023-04-24
208,shitanjing,106.3439,39.2342,279.13,67,22,1.82,CN,2023-04-24
209,hobyo,48.5268,5.3505,301.8,74,76,6.19,SO,2023-04-24
210,port elizabeth,25.5701,-33.918,293.2,88,100,4.12,ZA,2023-04-24
211,zalantun,122.7167,48.0,276.49,35,100,2.95,CN,2023-04-24
212,norman wells,-126.8329,65.282,262.17,79,100,1.54,CA,2023-04-24
213,piacabucu,-36.4344,-10.4056,298.19,84,98,3.13,BR,2023-04-24
214,turinsk,63.696,58.0458,277.55,92,78,2.73,RU,2023-04-24
215,monchegorsk,32.8739,67.9397,267.01,87,19,1.31,RU,2023-04-24
216,olafsvik,-23.7142,64.8945,276.23,58,100,7.07,IS,2023-04-24
217,waipawa,175.5153,-41.4122,283.48,68,5,2.59,NZ,2023-04-24
218,aklavik,-135.0107,68.2191,258.78,78,100,2.87,CA,2023-04-24
219,grand-lahou,-5.0242,5.1367,300.92,85,97,3.7,CI,2023-04-24
220,salalah,54.0924,17.0151,302.2,74,20,2.06,OM,2023-04-24
221,nantucket,-70.0995,41.2835,284.82,88,100,2.06,US,2023-04-24
222,broken hill,141.4333,-31.95,290.98,54,3,3.92,AU,2023-04-24
223,ahipara,173.1667,-35.1667,290.74,57,28,5.01,NZ,2023-04-24
224,berlevag,29.0864,70.8578,273.15,64,100,11.32,NO,2023-04-24
225,ippy,21.2247,6.2679,295.1,80,98,0.14,CF,2023-04-24
226,haimen,116.6142,23.1935,294.09,87,100,6.42,CN,2023-04-24
227,san patricio,-97.5169,28.017,296.52,69,55,4.72,US,2023-04-24
228,sanok,22.2056,49.5557,284.5,100,100,3.77,PL,2023-04-24
229,isangel,169.2667,-19.55,300.2,72,97,3.26,VU,2023-04-24
230,gobabis,18.9667,-22.45,288.17,80,36,2.62,NA,2023-04-24
231,masyaf,36.3406,35.0653,283.48,77,4,1.61,SY,2023-04-24
232,cabo san lucas,-109.9124,22.8909,302.32,44,20,4.12,MX,2023-04-24
233,provideniya,-173.3,64.3833,267.24,58,20,12.07,RU,2023-04-24
